f, a0, b0, c0, d0
1.00,-2.700258e+00,2.724587e-02,5.971574e-04,5.130385e-04
1.50,-2.462805e+00,2.715168e-02,-1.203684e-05,-7.200561e-05
2.00,-2.378094e+00,2.717326e-02,-2.529529e-04,-2.835906e-04
2.50,-2.338989e+00,2.719666e-02,-3.702004e-04,-3.836344e-04
3.00,-2.318075e+00,2.721466e-02,-4.355725e-04,-4.391716e-04
3.50,-2.305844e+00,2.722870e-02,-4.756334e-04,-4.736482e-04
4.00,-2.298307e+00,2.724034e-02,-5.019467e-04,-4.969635e-04
4.50,-2.293550e+00,2.725062e-02,-5.201752e-04,-5.138778e-04
5.00,-2.290567e+00,2.726019e-02,-5.333499e-04,-5.269089e-04
5.50,-2.288783e+00,2.726944e-02,-5.432096e-04,-5.374891e-04
6.00,-2.287853e+00,2.727865e-02,-5.508087e-04,-5.464816e-04
6.50,-2.287558e+00,2.728797e-02,-5.568161e-04,-5.544314e-04
7.00,-2.287754e+00,2.729753e-02,-5.616726e-04,-5.616960e-04
7.50,-2.288343e+00,2.730739e-02,-5.656783e-04,-5.685178e-04
8.00,-2.289256e+00,2.731762e-02,-5.690426e-04,-5.750656e-04
8.50,-2.290444e+00,2.732823e-02,-5.719159e-04,-5.814595e-04
9.00,-2.291868e+00,2.733927e-02,-5.744078e-04,-5.877869e-04
9.50,-2.293501e+00,2.735073e-02,-5.766000e-04,-5.941126e-04
10.00,-2.295323e+00,2.736264e-02,-5.785541e-04,-6.004850e-04
10.50,-2.297315e+00,2.737499e-02,-5.803175e-04,-6.069411e-04
11.00,-2.299464e+00,2.738779e-02,-5.819270e-04,-6.135092e-04
11.50,-2.301760e+00,2.740104e-02,-5.834114e-04,-6.202112e-04
12.00,-2.304192e+00,2.741473e-02,-5.847938e-04,-6.270643e-04
12.50,-2.306753e+00,2.742886e-02,-5.860924e-04,-6.340820e-04
13.00,-2.309437e+00,2.744343e-02,-5.873221e-04,-6.412749e-04
13.50,-2.312237e+00,2.745843e-02,-5.884950e-04,-6.486515e-04
14.00,-2.315150e+00,2.747385e-02,-5.896209e-04,-6.562182e-04
14.50,-2.318169e+00,2.748969e-02,-5.907080e-04,-6.639805e-04
15.00,-2.321292e+00,2.750593e-02,-5.917632e-04,-6.719425e-04
15.50,-2.324515e+00,2.752258e-02,-5.927920e-04,-6.801074e-04
16.00,-2.327834e+00,2.753963e-02,-5.937992e-04,-6.884778e-04
16.50,-2.331246e+00,2.755706e-02,-5.947888e-04,-6.970555e-04
17.00,-2.334749e+00,2.757487e-02,-5.957642e-04,-7.058420e-04
17.50,-2.338340e+00,2.759306e-02,-5.967282e-04,-7.148383e-04
18.00,-2.342016e+00,2.761161e-02,-5.976833e-04,-7.240451e-04
18.50,-2.345776e+00,2.763052e-02,-5.986316e-04,-7.334629e-04
19.00,-2.349618e+00,2.764978e-02,-5.995750e-04,-7.430917e-04
19.50,-2.353538e+00,2.766938e-02,-6.005149e-04,-7.529316e-04
20.00,-2.357536e+00,2.768932e-02,-6.014528e-04,-7.629822e-04
20.50,-2.361609e+00,2.770959e-02,-6.023898e-04,-7.732432e-04
21.00,-2.365746e+00,2.773016e-02,-6.033235e-04,-7.838064e-04
21.50,-2.369975e+00,2.775110e-02,-6.042653e-04,-7.943943e-04
22.00,-2.374265e+00,2.777232e-02,-6.052056e-04,-8.052829e-04
22.50,-2.378623e+00,2.779384e-02,-6.061485e-04,-8.163790e-04
23.00,-2.383048e+00,2.781566e-02,-6.070948e-04,-8.276816e-04
23.50,-2.387540e+00,2.783777e-02,-6.080449e-04,-8.391895e-04
24.00,-2.392095e+00,2.786017e-02,-6.089996e-04,-8.509016e-04
24.50,-2.396713e+00,2.788285e-02,-6.099593e-04,-8.628164e-04
25.00,-2.401392e+00,2.790579e-02,-6.109244e-04,-8.749324e-04
25.50,-2.406131e+00,2.792900e-02,-6.118955e-04,-8.872479e-04
26.00,-2.410927e+00,2.795246e-02,-6.128728e-04,-8.997612e-04
26.50,-2.415780e+00,2.797618e-02,-6.138569e-04,-9.124702e-04
