f, av, bv, cv, dv
1.00,1.175406e-05,5.186823e-08,-4.146202e-08,5.531196e-09
1.50,2.645736e-05,1.167400e-07,-9.332594e-08,1.246423e-08
2.00,4.706231e-05,2.076291e-07,-1.660041e-07,2.220644e-08
2.50,7.358981e-05,3.246062e-07,-2.595672e-07,3.479479e-08
3.00,1.060677e-04,4.677639e-07,-3.741083e-07,5.027821e-08
3.50,1.445313e-04,6.372198e-07,-5.097459e-07,6.871883e-08
4.00,1.890246e-04,8.331178e-07,-6.666258e-07,9.019336e-08
4.50,2.396014e-04,1.055632e-06,-8.449248e-07,1.147950e-07
5.00,2.963266e-04,1.304969e-06,-1.044855e-06,1.426360e-07
5.50,3.592784e-04,1.581375e-06,-1.266670e-06,1.738499e-07
6.00,4.285505e-04,1.885137e-06,-1.510668e-06,2.085959e-07
6.50,5.042551e-04,2.216592e-06,-1.777203e-06,2.470624e-07
7.00,5.865269e-04,2.576134e-06,-2.066693e-06,2.894730e-07
7.50,6.755272e-04,2.964222e-06,-2.379632e-06,3.360922e-07
8.00,7.714504e-04,3.381387e-06,-2.716601e-06,3.872341e-07
8.50,8.745313e-04,3.828249e-06,-3.078288e-06,4.432716e-07
9.00,9.850547e-04,4.305524e-06,-3.465507e-06,5.046487e-07
9.50,1.103368e-03,4.814040e-06,-3.879222e-06,5.718950e-07
10.00,1.229897e-03,5.354749e-06,-4.320579e-06,6.456442e-07
10.50,1.365168e-03,5.928742e-06,-4.790939e-06,7.266561e-07
11.00,1.509833e-03,6.537258e-06,-5.291920e-06,8.158447e-07
11.50,1.664713e-03,7.181684e-06,-5.825452e-06,9.143115e-07
12.00,1.830842e-03,7.863547e-06,-6.393828e-06,1.023387e-06
12.50,2.009542e-03,8.584468e-06,-6.999774e-06,1.144680e-06
13.00,2.202515e-03,9.346073e-06,-7.646509e-06,1.280135e-06
13.50,2.411986e-03,1.014982e-05,-8.337809e-06,1.432098e-06
14.00,2.640895e-03,1.099663e-05,-9.078029e-06,1.603383e-06
14.50,2.893185e-03,1.188634e-05,-9.872065e-06,1.797325e-06
15.00,3.174232e-03,1.281655e-05,-1.072515e-05,2.017794e-06
15.50,3.491503e-03,1.378071e-05,-1.164236e-05,2.269100e-06
16.00,3.855586e-03,1.476474e-05,-1.262747e-05,2.555655e-06
16.50,4.281851e-03,1.574101e-05,-1.368062e-05,2.881108e-06
17.00,4.793222e-03,1.665783e-05,-1.479376e-05,3.246377e-06
17.50,5.424951e-03,1.742113e-05,-1.594165e-05,3.645371e-06
18.00,6.233161e-03,1.786327e-05,-1.706500e-05,4.055935e-06
18.50,7.310658e-03,1.769252e-05,-1.803942e-05,4.420966e-06
19.00,8.817108e-03,1.642088e-05,-1.862193e-05,4.609816e-06
19.50,1.103722e-02,1.329417e-05,-1.836999e-05,4.342237e-06
20.00,1.448870e-02,7.345872e-06,-1.655899e-05,3.051320e-06
20.50,2.008757e-02,-2.049367e-06,-1.223516e-05,-3.080323e-07
21.00,2.921224e-02,-1.343594e-05,-4.786167e-06,-7.290530e-06
21.50,4.277407e-02,-2.082169e-05,4.456681e-06,-1.885989e-05
22.00,5.761867e-02,-1.680105e-05,8.969674e-06,-3.121901e-05
22.50,5.959846e-02,-1.829382e-05,9.603444e-06,-3.214420e-05
23.00,4.804075e-02,-2.371013e-05,4.517870e-06,-2.074003e-05
23.50,3.584211e-02,-1.607104e-05,-6.657364e-06,-8.477732e-06
24.00,2.703384e-02,-1.947991e-06,-1.727570e-05,-4.356946e-08
24.50,2.141790e-02,1.170389e-05,-2.515490e-05,4.759516e-06
25.00,1.792523e-02,2.230103e-05,-3.034066e-05,7.199212e-06
25.50,1.573062e-02,2.983833e-05,-3.358243e-05,8.299444e-06
26.00,1.432816e-02,3.507030e-05,-3.560385e-05,8.692113e-06
26.50,1.342303e-02,3.874987e-05,-3.691967e-05,8.730941e-06
27.00,1.284224e-02,4.143908e-05,-3.785472e-05,8.605575e-06
27.50,1.248142e-02,4.351587e-05,-3.860250e-05,8.415246e-06
28.00,1.227533e-02,4.522333e-05,-3.927448e-05,8.210682e-06
28.50,1.218178e-02,4.671493e-05,-3.993327e-05,8.016872e-06
29.00,1.217255e-02,4.808686e-05,-4.061304e-05,7.845236e-06
29.50,1.222824e-02,4.939930e-05,-4.133152e-05,7.700112e-06
30.00,1.233511e-02,5.068986e-05,-4.209714e-05,7.582219e-06
30.50,1.248324e-02,5.198202e-05,-4.291306e-05,7.490505e-06
31.00,1.266531e-02,5.329033e-05,-4.377957e-05,7.423130e-06
31.50,1.287579e-02,5.462368e-05,-4.469544e-05,7.377986e-06
32.00,1.311048e-02,5.598742e-05,-4.565869e-05,7.352961e-06
32.50,1.336612e-02,5.738460e-05,-4.666708e-05,7.346066e-06
33.00,1.364013e-02,5.881683e-05,-4.771830e-05,7.355491e-06
33.50,1.393049e-02,6.028479e-05,-4.881015e-05,7.379618e-06
34.00,1.423555e-02,6.178861e-05,-4.994055e-05,7.417020e-06
34.50,1.455398e-02,6.332806e-05,-5.110764e-05,7.466443e-06
35.00,1.488470e-02,6.490273e-05,-5.230972e-05,7.526790e-06
35.50,1.522681e-02,6.651206e-05,-5.354529e-05,7.597104e-06
36.00,1.557956e-02,6.815546e-05,-5.481298e-05,7.676548e-06
36.50,1.594232e-02,6.983234e-05,-5.611160e-05,7.764392e-06
37.00,1.631458e-02,7.154210e-05,-5.744010e-05,7.859997e-06
37.50,1.669588e-02,7.328417e-05,-5.879753e-05,7.962803e-06
38.00,1.708585e-02,7.505800e-05,-6.018306e-05,8.072318e-06
38.50,1.748415e-02,7.686310e-05,-6.159594e-05,8.188109e-06
39.00,1.789051e-02,7.869901e-05,-6.303552e-05,8.309794e-06
39.50,1.830468e-02,8.056528e-05,-6.450121e-05,8.437036e-06
40.00,1.872646e-02,8.246154e-05,-6.599250e-05,8.569536e-06
40.50,1.915566e-02,8.438741e-05,-6.750891e-05,8.707029e-06
41.00,1.959211e-02,8.634258e-05,-6.905004e-05,8.849279e-06
41.50,2.003569e-02,8.832675e-05,-7.061550e-05,8.996075e-06
42.00,2.048625e-02,9.033964e-05,-7.220496e-05,9.147228e-06
42.50,2.094370e-02,9.238100e-05,-7.381813e-05,9.302572e-06
43.00,2.140792e-02,9.445062e-05,-7.545472e-05,9.461954e-06
43.50,2.187885e-02,9.654830e-05,-7.711450e-05,9.625238e-06
44.00,2.235639e-02,9.867384e-05,-7.879724e-05,9.792302e-06
44.50,2.284048e-02,1.008271e-04,-8.050274e-05,9.963037e-06
45.00,2.333105e-02,1.030079e-04,-8.223082e-05,1.013734e-05
45.50,2.382805e-02,1.052161e-04,-8.398130e-05,1.031513e-05
46.00,2.433143e-02,1.074516e-04,-8.575402e-05,1.049631e-05
46.50,2.484113e-02,1.097143e-04,-8.754886e-05,1.068082e-05
