f0, b1, b2, b3, b4, b5, b6
22.235080,0.107900,2.144000,26.380000,0.760000,5.087000,1.000000
67.803960,0.001100,8.732000,28.580000,0.690000,4.930000,0.820000
119.995940,0.000700,8.353000,29.480000,0.700000,4.780000,0.790000
183.310087,2.273000,0.668000,29.060000,0.770000,5.022000,0.850000
321.225630,0.047000,6.179000,24.040000,0.670000,4.398000,0.540000
325.152888,1.514000,1.541000,28.230000,0.640000,4.893000,0.740000
336.227764,0.001000,9.825000,26.930000,0.690000,4.740000,0.610000
380.197353,11.670000,1.048000,28.110000,0.540000,5.063000,0.890000
390.134508,0.004500,7.347000,21.520000,0.630000,4.810000,0.550000
437.346667,0.063200,5.048000,18.450000,0.600000,4.230000,0.480000
439.150807,0.909800,3.595000,20.070000,0.630000,4.483000,0.520000
443.018343,0.192000,5.048000,15.550000,0.600000,5.083000,0.500000
448.001085,10.410000,1.405000,25.640000,0.660000,5.028000,0.670000
470.888999,0.325400,3.597000,21.340000,0.660000,4.506000,0.650000
474.689092,1.260000,2.379000,23.200000,0.650000,4.804000,0.640000
488.490108,0.252900,2.852000,25.860000,0.690000,5.201000,0.720000
503.568532,0.037200,6.731000,16.120000,0.610000,3.980000,0.430000
504.482692,0.012400,6.731000,16.120000,0.610000,4.010000,0.450000
547.676440,0.978500,0.158000,26.000000,0.700000,4.500000,1.000000
552.020960,0.184000,0.158000,26.000000,0.700000,4.500000,1.000000
556.935985,497.000000,0.159000,30.860000,0.690000,4.552000,1.000000
620.700807,5.015000,2.391000,24.380000,0.710000,4.856000,0.680000
645.766085,0.006700,8.633000,18.000000,0.600000,4.000000,0.500000
658.005280,0.273200,7.816000,32.100000,0.690000,4.140000,1.000000
752.033113,243.400000,0.396000,30.860000,0.680000,4.352000,0.840000
841.051732,0.013400,8.177000,15.900000,0.330000,5.760000,0.450000
859.965698,0.132500,8.055000,30.600000,0.680000,4.090000,0.840000
899.303175,0.054700,7.914000,29.850000,0.680000,4.530000,0.900000
902.611085,0.038600,8.429000,28.650000,0.700000,5.100000,0.950000
906.205957,0.183600,5.110000,24.080000,0.700000,4.700000,0.530000
916.171582,8.400000,1.441000,26.730000,0.700000,5.150000,0.780000
923.112692,0.007900,10.293000,29.000000,0.700000,5.000000,0.800000
970.315022,9.009000,1.919000,25.500000,0.640000,4.940000,0.670000
987.926764,134.600000,0.257000,29.850000,0.680000,4.550000,0.900000
1780.000000,17506.000000,0.952000,196.300000,2.000000,24.150000,5
