f0, a1, a2, a3, a4, a5, a6
50.474214, 0.975, 9.651, 6.69, 0, 2.566, 6.85
50.987745, 2.529, 8.653, 7.17, 0, 2.246, 6.8
51.50336, 6.193, 7.709, 7.64, 0, 1.947, 6.729
52.021429, 14.32, 6.819, 8.11, 0, 1.667, 6.64
52.542418, 31.24, 5.983, 8.58, 0, 1.388, 6.526
53.066934, 64.29, 5.201, 9.06, 0, 1.349, 6.206
53.595775, 124.6, 4.474, 9.55, 0, 2.227, 5.085
54.130025, 227.3, 3.8, 9.96, 0, 3.17, 3.75
54.67118, 389.7, 3.182, 10.37, 0, 3.558, 2.654
55.221384, 627.1, 2.618, 10.89, 0, 2.56, 2.952
55.783815, 945.3, 2.109, 11.34, 0, -1.172, 6.135
56.264774, 543.4, 0.014, 17.03, 0, 3.525, -0.978
56.363399, 1331.8, 1.654, 11.89, 0, -2.378, 6.547
56.968211, 1746.6, 1.255, 12.23, 0, -3.545, 6.451
57.612486, 2120.1, 0.91, 12.62, 0, -5.416, 6.056
58.323877, 2363.7, 0.621, 12.95, 0, -1.932, 0.436
58.446588, 1442.1, 0.083, 14.91, 0, 6.768, -1.273
59.164204, 2379.9, 0.387, 13.53, 0, -6.561, 2.309
59.590983, 2090.7, 0.207, 14.08, 0, 6.957, -0.776
60.306056, 2103.4, 0.207, 14.15, 0, -6.395, 0.699
60.434778, 2438, 0.386, 13.39, 0, 6.342, -2.825
61.150562, 2479.5, 0.621, 12.92, 0, 1.014, -0.584
61.800158, 2275.9, 0.91, 12.63, 0, 5.014, -6.619
62.41122, 1915.4, 1.255, 12.17, 0, 3.029, -6.759
62.486253, 1503, 0.083, 15.13, 0, -4.499, 0.844
62.997984, 1490.2, 1.654, 11.74, 0, 1.856, -6.675
63.568526, 1078, 2.108, 11.34, 0, 0.658, -6.139
64.127775, 728.7, 2.617, 10.88, 0, -3.036, -2.895
64.67891, 461.3, 3.181, 10.38, 0, -3.968, -2.590
65.224078, 274, 3.8, 9.96, 0, -3.528, -3.680
65.764779, 153, 4.473, 9.55, 0, -2.548, -5.002
66.302096, 80.4, 5.2, 9.06, 0, -1.660, -6.091
66.836834, 39.8, 5.982, 8.58, 0, -1.680, -6.393
67.369601, 18.56, 6.818, 8.11, 0, -1.956, -6.475
67.900868, 8.172, 7.708, 7.64, 0, -2.216, -6.545
68.431006, 3.397, 8.652, 7.17, 0, -2.492, -6.600
68.960312, 1.334, 9.65, 6.69, 0, -2.773, -6.650
118.750334, 940.3, 0.01, 16.64, 0, -0.439, 0.079
368.498246, 67.4, 0.048, 16.4, 0, 0, 0
424.76302, 637.7, 0.044, 16.4, 0, 0, 0
487.249273, 237.4, 0.049, 16, 0, 0, 0
715.392902, 98.1, 0.145, 16, 0, 0, 0
773.83949, 572.3, 0.141, 16.2, 0, 0, 0
834.145546, 183.1, 0.145, 14.7, 0, 0, 0
