f0, b1, b2, b3, b4, b5, b6
22.23508, 0.113, 2.143, 28.11, 0.69, 4.8, 1
67.80396, 0.0012, 8.735, 28.58, 0.69, 4.93, 0.82
119.99594, 0.0008, 8.356, 29.48, 0.7, 4.78, 0.79
183.310091, 2.42, 0.668, 30.5, 0.64, 5.3, 0.85
321.225644, 0.0483, 6.181, 23.03, 0.67, 4.69, 0.54
325.152919, 1.499, 1.54, 27.83, 0.68, 4.85, 0.74
336.222601, 0.0011, 9.829, 26.93, 0.69, 4.74, 0.61
380.197372, 11.52, 1.048, 28.73, 0.54, 5.38, 0.89
390.134508, 0.0046, 7.35, 21.52, 0.63, 4.81, 0.55
437.346667, 0.065, 5.05, 18.45, 0.6, 4.23, 0.48
439.150812, 0.9218, 3.596, 21, 0.63, 4.29, 0.52
443.018295, 0.1976, 5.05, 18.6, 0.6, 4.23, 0.5
448.001075, 10.32, 1.405, 26.32, 0.66, 4.84, 0.67
470.888947, 0.3297, 3.599, 21.52, 0.66, 4.57, 0.65
474.689127, 1.262, 2.381, 23.55, 0.65, 4.65, 0.64
488.491133, 0.252, 2.853, 26.02, 0.69, 5.04, 0.72
503.568532, 0.039, 6.733, 16.12, 0.61, 3.98, 0.43
504.482692, 0.013, 6.733, 16.12, 0.61, 4.01, 0.45
547.67644, 9.701, 0.114, 26, 0.7, 4.5, 1
552.02096, 14.77, 0.114, 26, 0.7, 4.5, 1
556.936002, 487.4, 0.159, 32.1, 0.69, 4.11, 1
620.700807, 5.012, 2.2, 24.38, 0.71, 4.68, 0.68
645.866155, 0.0713, 8.58, 18, 0.6, 4, 0.5
658.00528, 0.3022, 7.82, 32.1, 0.69, 4.14, 1
752.033227, 239.6, 0.396, 30.6, 0.68, 4.09, 0.84
841.053973, 0.014, 8.18, 15.9, 0.33, 5.76, 0.45
859.962313, 0.1472, 7.989, 30.6, 0.68, 4.09, 0.84
899.306675, 0.0605, 7.917, 29.85, 0.68, 4.53, 0.9
902.616173, 0.0426, 8.432, 28.65, 0.7, 5.1, 0.95
906.207325, 0.1876, 5.111, 24.08, 0.7, 4.7, 0.53
916.171582, 8.34, 1.442, 26.7, 0.7, 4.78, 0.78
923.118427, 0.0869, 10.22, 29, 0.7, 5, 0.8
970.315022, 8.972, 1.92, 25.5, 0.64, 4.94, 0.67
987.926764, 132.1, 0.258, 29.85, 0.68, 4.55, 0.9
1780, 22300, 0.952, 176.2, 0.5, 30.5, 5
